"episode","Group: Train_Rewards_simple_reference_if_load_meta:1 - _step","Group: Train_Rewards_simple_reference_if_load_meta:1 - _step__MIN","Group: Train_Rewards_simple_reference_if_load_meta:1 - _step__MAX","Group: Train_Rewards_simple_reference_if_load_meta:1 - train_rewards","Group: Train_Rewards_simple_reference_if_load_meta:1 - train_rewards__MIN","Group: Train_Rewards_simple_reference_if_load_meta:1 - train_rewards__MAX"
"1","1","1","1","-1253.7187672576026","-1508.6809976481918","-835.5163063612556"
"2","3","3","3","-832.7307567166359","-2077.9795854514678","-363.4735780302185"
"3","5","5","5","-743.440819975798","-1301.2553631612261","-256.42132587596655"
"4","7","7","7","-1039.7595905700218","-2005.8424343933773","-318.32612897933933"
"5","9","9","9","-18095.410480183644","-31253.8848500692","-1792.2205151151982"
"6","11","11","11","-53912.85749926523","-74643.6765262145","-14531.695344194259"
"7","13","13","13","-104013.94753879905","-119165.920578918","-94437.48352333925"
"8","15","15","15","-93438.94750167112","-116566.67869497462","-56772.70324552404"
"9","17","17","17","-93708.74690779182","-123251.38027329468","-49074.4434809379"
"10","19","19","19","-94700.67687416394","-133743.74355783596","-51623.145110040496"
"11","21","21","21","-82223.16212252367","-111307.39675130881","-50060.78935424665"
"12","23","23","23","-82758.44661710966","-139582.2864940007","-37753.75064949044"
"13","25","25","25","-46698.64979588294","-85163.78807444216","-27270.430865582515"
"14","27","27","27","-53803.870083447335","-96723.57955837854","-3591.609946786324"
"15","29","29","29","-65029.8826063493","-110180.63659138151","-26565.710658308813"
"16","31","31","31","-78142.38144466325","-128275.31462737698","-57933.29252018298"
"17","33","33","33","-76583.4774003879","-100491.62231605421","-50364.479987802246"
"18","35","35","35","-74500.22733546412","-106156.07565511746","-47782.24699559512"
"19","37","37","37","-72728.17724452793","-125405.26685207048","-38235.49328287325"
"20","39","39","39","-66034.52685103628","-113387.51649134768","-19840.28704421022"
"21","41","41","41","-65401.66205951142","-98079.43821648101","-33897.03329203818"
"22","43","43","43","-58394.93265936091","-67222.56642177305","-46780.42293922116"
"23","45","45","45","-46297.43698979258","-74341.0996652856","-32025.334040248068"
"24","47","47","47","-67448.61763225119","-104424.58644149112","-34907.00147395316"
"25","49","49","49","-74880.6043522897","-138033.03092521906","-22939.212726930255"
"26","51","51","51","-83877.67186709745","-107863.37451268248","-59427.73380916564"
"27","53","53","53","-67637.07992475871","-100633.7018613086","-45297.86071804414"
"28","55","55","55","-62067.730854563255","-82987.01513123227","-44059.31782046299"
"29","57","57","57","-70429.54321448624","-89661.43136520166","-51090.736336697555"
"30","59","59","59","-78791.1485162561","-110134.23640968163","-38644.74843480626"
"31","61","61","61","-64697.349342830166","-109710.25533874355","-36484.184936004545"
"32","63","63","63","-67874.99624069555","-103016.11706991463","-38015.382445649215"
"33","65","65","65","-80547.17568615483","-125302.53523452052","-38183.40421342693"
"34","67","67","67","-70582.99952413511","-101775.0591811768","-28894.483287608167"
"35","69","69","69","-64175.499297344824","-100267.88497744917","-31196.493175805226"
"36","71","71","71","-46824.15250911751","-95518.65568631381","-15180.864006663194"
"37","73","73","73","-50123.46524945552","-85553.58220859483","-3407.5721719625444"
"38","75","75","75","-46504.63750714526","-70582.91726333473","-1284.3132656818984"
"39","77","77","77","-48403.784321532774","-78678.0865753298","-21408.87750039916"
"40","79","79","79","-61220.81565666123","-81026.47174519952","-23126.648807689307"
