"episode","Group: Train_Rewards_simple_reference_if_load_pretrained:1 - _step","Group: Train_Rewards_simple_reference_if_load_pretrained:1 - _step__MIN","Group: Train_Rewards_simple_reference_if_load_pretrained:1 - _step__MAX","Group: Train_Rewards_simple_reference_if_load_pretrained:1 - train_rewards","Group: Train_Rewards_simple_reference_if_load_pretrained:1 - train_rewards__MIN","Group: Train_Rewards_simple_reference_if_load_pretrained:1 - train_rewards__MAX"
"1","1","1","1","-1253.7187643631319","-1508.6810074330033","-835.516305551459"
"2","3","3","3","-832.7307554890838","-2077.979571748319","-363.4735759430871"
"3","5","5","5","-735.0215427730529","-1351.4325883818974","-269.47639327444506"
"4","7","7","7","-2441.9703135889604","-5323.168751158649","-667.5464677943577"
"5","9","9","9","-31099.72477340452","-52800.781268607345","-6643.991022559194"
"6","11","11","11","-52085.438551126805","-64934.82097076849","-37639.377149679545"
"7","13","13","13","-57445.62495256914","-75151.7356769634","-3744.4045675700495"
"8","15","15","15","-75709.51630143178","-114675.52652353983","-6735.152227267781"
"9","17","17","17","-75142.62987137002","-117473.39830422268","-29665.525269813592"
"10","19","19","19","-69076.31801933092","-79173.60516770129","-41889.31889494846"
"11","21","21","21","-70443.05487995053","-80166.88112970977","-46645.41367134905"
"12","23","23","23","-62093.09661051929","-68151.61848325763","-43768.52386572619"
"13","25","25","25","-61710.48315913397","-74051.5791060413","-35249.7273332731"
"14","27","27","27","-81554.30433629097","-110858.638662924","-54724.6021192158"
"15","29","29","29","-81644.21840140765","-102621.46839139394","-61133.57582668044"
"16","31","31","31","-83575.84395596078","-99759.13425755997","-57107.5228526103"
"17","33","33","33","-85950.31683370471","-103315.8060700296","-66606.287085128"
"18","35","35","35","-89453.30845918038","-109740.41826982255","-78533.7553636156"
"19","37","37","37","-95534.13912243664","-119483.50779515678","-72495.63459287517"
"20","39","39","39","-108916.52189561124","-129657.50022982594","-77469.30805935331"
"21","41","41","41","-106723.18149900288","-133418.8528508933","-79793.17171768133"
"22","43","43","43","-94506.03735939717","-105921.79216222832","-85056.1720472576"
"23","45","45","45","-102336.39664024282","-134477.60649313906","-71692.68716109439"
"24","47","47","47","-100788.34765833346","-142682.70059239166","-69206.39522964587"
"25","49","49","49","-84932.01706074858","-140181.49281531858","-50119.79633064307"
"26","51","51","51","-88497.9187223311","-104671.27759430333","-72658.01032527171"
"27","53","53","53","-82517.35370245247","-103414.24394851977","-67313.97874356296"
"28","55","55","55","-80463.77992854148","-106502.65642057318","-60208.763118869356"
"29","57","57","57","-92286.86395264955","-108706.47290737419","-73725.24830795714"
"30","59","59","59","-91591.66297022844","-125565.89823308976","-68767.7224632035"
"31","61","61","61","-92938.66107215064","-112579.98637665717","-71343.43999672844"
"32","63","63","63","-82214.07286768474","-101073.63183540202","-69556.97352466226"
"33","65","65","65","-98865.03338648293","-118183.24986375833","-80363.590111612"
"34","67","67","67","-100842.1420218467","-123815.77962998148","-70362.81047618836"
"35","69","69","69","-102949.4461736983","-126640.19101837171","-87353.61617891375"
"36","71","71","71","-98107.0316152377","-114264.73198137658","-69875.1777945498"
"37","73","73","73","-81620.4683788279","-104571.61609885024","-60650.70380784903"
"38","75","75","75","-86280.26444237647","-119666.37208803918","-57835.82482792781"
"39","77","77","77","-86799.22995306116","-109939.91723960802","-53012.30333320658"
"40","79","79","79","-79990.62352136665","-116438.83609910248","-41085.20461434297"
"41","81","81","81","-75514.25451523578","-102838.5545393826","-46179.21391407356"
"42","83","83","83","-66267.4538029251","-85480.5656647702","-23744.91988294587"
"43","85","85","85","-68982.93147182546","-88175.30171048477","-36155.79064895048"
"44","87","87","87","-61843.19113073242","-92318.52723131444","-37702.87743737493"
"45","89","89","89","-64019.700716059015","-93975.78479001705","-36614.56854816249"
"46","91","91","91","-54086.0984842718","-93239.18887512435","-523.8955854428378"
"47","93","93","93","-44465.581725256154","-109909.44023171297","-2314.088508413901"
"48","95","95","95","-47330.17011670418","-124940.97881107268","-1305.3185137936155"
"49","97","97","97","-51650.317652973674","-123650.85529997802","-256.35365745653434"
"50","99","99","99","-40992.09913467367","-84614.49202440292","-442.8277498267603"
"51","101","101","101","-45057.58361292445","-98943.65414313292","-753.4999633131388"
"52","103","103","103","-44218.908633634885","-74416.7723622731","-15115.518802397966"
"53","105","105","105","-45505.0827558138","-94714.93981745666","-6272.922145121784"
"54","107","107","107","-43390.38612329394","-92105.12705871504","-7388.9474889123785"
"55","109","109","109","-50393.16782002598","-102769.32465644015","-7310.133617765915"
"56","111","111","111","-51900.923590575636","-95670.83984490605","-4007.454660393883"
"57","113","113","113","-46779.672979773146","-87965.08468460727","-3372.9321643308544"
"58","115","115","115","-50375.22604391364","-89600.36762643652","-4553.135480116488"
"59","117","117","117","-52477.35529661955","-88956.557063941","-2327.687360834301"
"60","119","119","119","-49917.87557693349","-91465.49493345803","-1394.6447996219956"
"61","121","121","121","-47339.69009173676","-73625.91564416229","-626.8446557262871"
"62","123","123","123","-52162.72943362419","-78528.97538524104","-21340.385095316353"
"63","125","125","125","-53743.61606779401","-83074.44610439311","-3577.877133758986"
"64","127","127","127","-54389.11120331541","-89943.99952160651","-9021.817615692604"
"65","129","129","129","-68379.05024344363","-124300.02911172007","-16702.343007928866"
"66","131","131","131","-64700.735129726716","-92313.5530654495","-32815.89000264858"
"67","133","133","133","-75937.23362534195","-118317.21911624658","-11172.13049891844"
"68","135","135","135","-67746.09056072039","-110998.25590317161","-4849.073101554156"
"69","137","137","137","-55837.9726786616","-113028.06913006685","-6301.614821427435"
"70","139","139","139","-50396.29684307878","-112358.06024193378","-9039.75201477328"
"71","141","141","141","-45635.00886362848","-107846.10226986281","-12240.440742118482"
"72","143","143","143","-44104.00166249727","-97412.93131926506","-2454.1333182745475"
"73","145","145","145","-30972.099254184246","-71815.9094514789","-1680.940779701477"
"74","147","147","147","-37510.12613892678","-65274.08690671915","-3707.424555361867"
"75","149","149","149","-31746.94002017012","-60786.143248490385","-1023.3520929708036"
"76","151","151","151","-31094.79998626784","-50692.055508532634","-7541.228215666974"
"77","153","153","153","-39295.68203718177","-55433.98698178241","-21466.01112619523"
"78","155","155","155","-38806.06140967617","-62969.09887323919","-31681.807677838195"
"79","157","157","157","-39791.99369362205","-67419.78968787886","-18072.633505849903"
"80","159","159","159","-30487.664520340382","-80286.62042825617","-6263.560618898986"
"81","161","161","161","-37042.9208764941","-91634.75408015183","-7790.469217377723"
"82","163","163","163","-25417.83633172465","-74443.42248037625","-2012.0437579126083"
"83","165","165","165","-36549.347839653594","-88839.35054867344","-745.7422682562612"
"84","167","167","167","-36779.79701048602","-89300.99638999274","-701.1668335879838"
"85","169","169","169","-38716.87369354689","-81470.49675342844","-1421.6248641281156"
"86","171","171","171","-40761.55496884691","-78998.94959967429","-2290.7772824409435"
"87","173","173","173","-30264.704819890798","-73962.6011371864","-2582.289986255171"
"88","175","175","175","-29975.872302064166","-79972.49955040254","-1348.955575395832"
"89","177","177","177","-32980.51355002808","-75870.76038708497","-2284.9105054345528"
"90","179","179","179","-34774.425649699006","-78742.52674568522","-2704.2032220828964"
"91","181","181","181","-39855.2012829601","-95052.7986174101","-2988.558503222997"
"92","183","183","183","-38082.31837411753","-108722.84163631349","-6508.938296581137"
"93","185","185","185","-42440.08300486639","-106777.55860844639","-5192.575492768931"
"94","187","187","187","-47697.12348815293","-123214.61262083825","-4586.653585364695"
"95","189","189","189","-46234.75062437097","-115069.10123796112","-4172.998896050031"
"96","191","191","191","-44967.95913191698","-123469.98913334296","-1435.1488283887961"
"97","193","193","193","-46607.65555601278","-108185.83360654257","-2006.6959762728447"
"98","195","195","195","-45702.28242718552","-114253.59997836276","-1929.5142353690483"
"99","197","197","197","-46027.32882905887","-113198.04419564112","-1909.4946627518807"
"100","199","199","199","-50853.10551673824","-106848.87653668747","-1188.2471401417613"
"101","201","201","201","-54271.67246857499","-119540.52274899805","-474.9482691389491"
"102","203","203","203","-63085.65344218861","-122399.6289059788","-329.00175963361266"
"103","205","205","205","-47761.48219944886","-116884.77722881535","-1172.0654102791757"
"104","207","207","207","-49081.08824057634","-123878.69918091751","-1970.0003185533951"
"105","209","209","209","-49769.84496997643","-112946.66936239782","-2475.295131953284"
"106","211","211","211","-50251.1651131462","-120548.10330097227","-2054.8756770089662"
"107","213","213","213","-39872.982355980996","-106907.9591356714","-1671.6997241400825"
"108","215","215","215","-38711.68770455094","-93105.86645784497","-3144.1376686194562"
"109","217","217","217","-37362.87734261217","-91885.72605155683","-3536.062807506654"
"110","219","219","219","-35267.04567357576","-95361.82237067663","-2494.2373049647545"
"111","221","221","221","-36406.61901470955","-98564.18420058112","-2795.4862037160783"
"112","223","223","223","-23845.204522058106","-93005.39776509332","-1412.217129666506"
"113","225","225","225","-19637.472705069962","-88118.8386146817","-1238.9724434122056"
"114","227","227","227","-22855.73342538639","-95269.88285761335","-2149.692968152922"
"115","229","229","229","-19104.266832895373","-87158.15322111468","-1041.8739299794038"
"116","231","231","231","-16771.030117030037","-71789.21600212531","-831.7675689963594"
"117","233","233","233","-10652.865851087421","-42967.80793195045","-787.7724200487545"
"118","235","235","235","-10965.439540881349","-41038.963973898644","-967.1421856642138"
"119","237","237","237","-11067.08054703246","-43095.30599768318","-1816.6291825948565"
"120","239","239","239","-9860.974070304424","-39581.24507598659","-662.4840771260432"
"121","241","241","241","-13838.593045665966","-52420.832730574904","-1226.8381782772396"
"122","243","243","243","-15063.340312663888","-43437.96277404829","-186.93190388478644"
"123","245","245","245","-16299.232003670364","-52727.78344289619","-309.4935277823303"
"124","247","247","247","-18838.4696606937","-54803.488578705386","-357.60124450196054"
"125","249","249","249","-17953.524590904926","-45304.98593825018","-383.3925426095677"
