"episode","Group: Train_Rewards_simple_reference_if_load_meta:0 - _step","Group: Train_Rewards_simple_reference_if_load_meta:0 - _step__MIN","Group: Train_Rewards_simple_reference_if_load_meta:0 - _step__MAX","Group: Train_Rewards_simple_reference_if_load_meta:0 - train_rewards","Group: Train_Rewards_simple_reference_if_load_meta:0 - train_rewards__MIN","Group: Train_Rewards_simple_reference_if_load_meta:0 - train_rewards__MAX"
"1","1","1","1","-1253.7187643631319","-1508.6810074330033","-835.516305551459"
"2","3","3","3","-832.7307554890838","-2077.979571748319","-363.4735759430871"
"3","5","5","5","-704.0988154615068","-1359.541050545651","-254.73749774368645"
"4","7","7","7","-611.6694307879241","-1448.2791660193302","-341.6221697533218"
"5","9","9","9","-5779.2416719052335","-15042.726064952705","-1608.025048730118"
"6","11","11","11","-11662.780671388453","-20015.21805434989","-2725.2705905205685"
"7","13","13","13","-26183.099313971452","-50846.58370479997","-2057.9800580135206"
"8","15","15","15","-40640.20161176162","-64578.60742173393","-6415.163291108631"
"9","17","17","17","-51796.68818823434","-94654.96187455692","-13036.501418644475"
"10","19","19","19","-63504.34911623837","-124947.64689965059","-5104.0343661904"
"11","21","21","21","-55592.464592704855","-111811.61209615486","-7994.776543497112"
"12","23","23","23","-62238.23335581822","-119758.32091200788","-5381.101536212961"
"13","25","25","25","-91855.66548871466","-144282.05706222047","-57145.26642561376"
"14","27","27","27","-102483.7539865638","-129441.90348683733","-71885.52036063749"
"15","29","29","29","-85058.29580291237","-104226.89886346314","-53945.42274817683"
"16","31","31","31","-73460.37052507765","-114886.66510165892","-29218.904488077682"
"17","33","33","33","-76068.55897405923","-140462.46428777283","-35334.56297555195"
"18","35","35","35","-74571.34749795569","-137981.38009531182","-34496.33330034216"
"19","37","37","37","-82903.23819130717","-126596.6696830156","-44806.893123424255"
"20","39","39","39","-83250.12303819999","-133741.43684222162","-38335.4729487047"
"21","41","41","41","-70764.1523670186","-114176.56779689377","-16425.64112226535"
"22","43","43","43","-72770.85379840228","-112959.6095814122","-12093.882176189642"
"23","45","45","45","-71598.50927432926","-115233.26673094145","-6611.166975249281"
"24","47","47","47","-75973.48422615525","-133852.88220002336","-8108.1662460649395"
"25","49","49","49","-59497.381436839394","-109175.72494356887","-16204.271588163312"
"26","51","51","51","-66187.18166237905","-127129.17083185032","-5578.882522972138"
"27","53","53","53","-60771.297284306274","-87376.76313459159","-3564.78199795773"
"28","55","55","55","-54709.45874990926","-93300.73247803129","-2403.1405078649877"
"29","57","57","57","-52345.81784290311","-96562.5728231525","-2352.094273701469"
"30","59","59","59","-61610.92158443043","-102497.8998507902","-6341.133422909214"
"31","61","61","61","-59751.794066181035","-98510.48470784097","-10063.095893307189"
"32","63","63","63","-56756.13240424397","-84338.03770945575","-7778.124919901191"
"33","65","65","65","-64972.017685859886","-85884.46411938529","-22225.503481907308"
"34","67","67","67","-66065.76257823229","-101190.8631295642","-5419.704098197669"
"35","69","69","69","-59124.76267785563","-93599.06449130729","-1103.3725175241523"
"36","71","71","71","-61765.52922885345","-102859.0479402306","-3975.7526157694415"
"37","73","73","73","-53861.67487741413","-100208.35445029612","-2725.794518617663"
"38","75","75","75","-51187.338280118114","-78688.45799474997","-3270.5371403692125"
"39","77","77","77","-54344.33981137653","-71073.97215065616","-28043.4198676668"
"40","79","79","79","-54372.40937559714","-65551.54061245629","-42185.12782109893"
"41","81","81","81","-58798.98864011678","-76246.58055315945","-32684.680356880326"
"42","83","83","83","-50104.157623126244","-98113.36052695093","-1079.8200643202376"
"43","85","85","85","-51685.06934312005","-81709.29450254934","-362.1285260994289"
"44","87","87","87","-46163.619846391455","-83283.32834807603","-316.33173674478735"
"45","89","89","89","-37264.79590523565","-58116.03111411592","-345.7695732207899"
"46","91","91","91","-38338.47932343423","-81402.1223906601","-1750.033238938129"
"47","93","93","93","-43236.70952717978","-73644.33770692474","-3598.8725108995063"
"48","95","95","95","-38886.38632450234","-71528.15882166708","-1593.2178777569231"
"49","97","97","97","-45671.19646695348","-92032.63775299974","-718.07753791532"
"50","99","99","99","-48319.999542241065","-108888.16619363961","-1889.7547196552575"
"51","101","101","101","-40843.472317538355","-106684.63904672628","-1150.9696609907162"
"52","103","103","103","-20348.162045275472","-56249.30932885364","-726.8248338972935"
"53","105","105","105","-19027.050843795663","-68406.34664712832","-438.56529165707997"
"54","107","107","107","-17462.871913087798","-57134.524894702234","-686.0224778828159"
"55","109","109","109","-27818.476341086633","-91945.56510119731","-1232.4774768498119"
"56","111","111","111","-23490.917292939186","-98652.25245138751","-956.2969282970959"
"57","113","113","113","-25464.977306822366","-106263.65214040145","-457.5781422696845"
"58","115","115","115","-24216.855691884393","-91583.43971432907","-562.1922023963346"
"59","117","117","117","-17845.602749499572","-82697.72061774986","-390.6438643713865"
"60","119","119","119","-18643.542275054035","-87352.47323582022","-558.0985834466375"
"61","121","121","121","-16040.766371199856","-75435.00317957503","-558.5598867595442"
"62","123","123","123","-18242.546353663383","-83549.82375357808","-1078.3192352049678"
"63","125","125","125","-15917.078003036473","-73920.42029077219","-320.9441662592474"
"64","127","127","127","-16884.47639573835","-75004.64327785393","-480.6510925994894"
"65","129","129","129","-15323.276388764449","-68873.88171534488","-644.1850341764592"
"66","131","131","131","-10375.337557284218","-40136.694344555246","-782.712433733265"
"67","133","133","133","-12063.639554125688","-40640.83322960313","-963.598963073812"
"68","135","135","135","-8367.66474733793","-29878.142647633515","-1333.5075116377957"
"69","137","137","137","-8948.518158513609","-38438.40534495397","-529.4901316823666"
"70","139","139","139","-10028.162627230413","-37806.492264295564","-782.6577049799115"
"71","141","141","141","-9043.765712278946","-34117.29752740275","-2134.935567099388"
"72","143","143","143","-8431.919929778813","-32930.8546322863","-958.9284117945491"
"73","145","145","145","-11878.004407649012","-39843.47122788346","-2208.1289569930154"
"74","147","147","147","-30990.76895764852","-81430.7020788556","-1488.718584813996"
"75","149","149","149","-27944.022459351494","-79346.22485828078","-781.1132733360301"
"76","151","151","151","-22239.304920815637","-88294.27623813898","-1218.0999876164299"
"77","153","153","153","-17414.216080677586","-64150.165061872496","-1475.1950478681974"
"78","155","155","155","-21228.27299423174","-78487.27797829566","-841.8112858065871"
"79","157","157","157","-17106.473693313543","-61466.82029067168","-1447.4739540999522"
"80","159","159","159","-12459.353812743331","-39857.60122410994","-1427.3496232217326"
"81","161","161","161","-5796.253912714475","-10178.693381528641","-1681.1271784400692"
"82","163","163","163","-3874.275800436214","-7799.451748984476","-1113.845641874949"
"83","165","165","165","-4329.004306194611","-8945.910501884739","-831.8099618358624"
"84","167","167","167","-6573.34284463284","-17802.246296678237","-452.80747403212973"
"85","169","169","169","-11358.569351426582","-36470.24247594956","-1366.9076848844722"
"86","171","171","171","-12304.551964868773","-39313.20332573734","-951.3727584902946"
"87","173","173","173","-10391.675446634288","-28728.755231627096","-1247.9200741089705"
"88","175","175","175","-14914.538496999066","-41386.65361111369","-1634.7259662444978"
"89","177","177","177","-13065.425976033808","-40943.481244566974","-311.2697737435779"
"90","179","179","179","-14115.750761734473","-40410.70950264085","-552.9495020821043"
"91","181","181","181","-21085.58851602045","-54431.4924933084","-499.85520173767935"
"92","183","183","183","-18978.92405276432","-41138.03194051816","-1244.555602197476"
"93","185","185","185","-20673.315727378562","-42099.04086881383","-5880.648514029113"
"94","187","187","187","-22712.496842857756","-56747.75911147847","-1917.935486357514"
"95","189","189","189","-20734.57924039369","-45280.92917804175","-1135.5407017171458"
"96","191","191","191","-13691.52214782882","-34947.90480538508","-1535.3700429469552"
"97","193","193","193","-7081.52722464634","-22140.688960730615","-2056.45104945469"
"98","195","195","195","-6060.340969115372","-20630.387042350172","-1170.3945567884045"
"99","197","197","197","-4424.7669791156695","-16023.11053959965","-637.6471440854847"
"100","199","199","199","-5246.678453651717","-21488.97977214207","-394.0082757407608"
"101","201","201","201","-6691.553912629877","-24595.378142186215","-681.1289804231225"
"102","203","203","203","-13101.5246546685","-33242.509327409694","-156.74806222370793"
"103","205","205","205","-9557.176526447409","-30770.26037868742","-153.47940383682322"
"104","207","207","207","-6090.928178824273","-14571.006443648428","-436.0328678479905"
"105","209","209","209","-6886.751337220172","-30215.535966715648","-170.65986795197648"
"106","211","211","211","-3907.299380375148","-16480.668071262953","-48.77813802695238"
"107","213","213","213","-5635.143554557441","-22717.112185211685","-406.0134882234051"
"108","215","215","215","-5272.335646549879","-17727.973023967363","-213.58884829906063"
"109","217","217","217","-6344.788057942518","-18141.03633467278","-293.4212783623534"
"110","219","219","219","-12278.752994001621","-41349.598102881624","-706.7905545111604"
"111","221","221","221","-10775.449337056505","-34113.69192384198","-165.91384130326628"
"112","223","223","223","-10078.934091137025","-39293.39281687625","-103.44073793395997"
"113","225","225","225","-9943.667894536486","-36684.24436803238","-489.1508672612662"
"114","227","227","227","-9361.713675970148","-38868.50144495622","-303.36911927634253"
"115","229","229","229","-14856.840919894996","-38511.0747301854","-433.5548236335909"
"116","231","231","231","-13234.6413672172","-39031.41163456117","-184.94998266270423"
"117","233","233","233","-9464.46898632471","-37307.2046252655","-420.8563606364808"
"118","235","235","235","-9241.773097096782","-34341.84426679825","-204.1758857244566"
"119","237","237","237","-7746.49943898738","-28441.232402793827","-574.3519556098945"
"120","239","239","239","-9995.82630373917","-34890.5050064451","-138.22695776697174"
"121","241","241","241","-19313.725597758916","-67689.91736477466","-265.41179355537673"
"122","243","243","243","-8957.71603491368","-37562.16196630123","-357.50800805156683"
"123","245","245","245","-11993.957879234802","-39797.71707961444","-413.8523109408554"
"124","247","247","247","-8294.024706261282","-36490.17806905381","-295.9537313923299"
"125","249","249","249","-9756.076961848563","-40016.29039278571","-505.90008485924136"
"126","251","251","251","-2455.6797341003653","-5980.583422995226","-144.74883355185028"
