"episode","happy-moon-327","happy-moon-327__MIN","happy-moon-327__MAX","dry-smoke-325","dry-smoke-325__MIN","dry-smoke-325__MAX","easy-bee-324","easy-bee-324__MIN","easy-bee-324__MAX","atomic-cloud-322","atomic-cloud-322__MIN","atomic-cloud-322__MAX","sandy-pine-320","sandy-pine-320__MIN","sandy-pine-320__MAX"
"1","-47.36087918072097","-95.72175836144194","1","-395.6327876407931","-792.2655752815862","1","-884.0400155704125","-1769.080031140825","1","-465.5848355509153","-932.1696711018305","1","-1651.1469713699134","-3303.293942739827","1"
"2","-393.0769158715525","-789.153831743105","3","-954.777344957915","-1912.55468991583","3","-1628.797383408406","-3260.594766816812","3","-124.04052246239955","-251.0810449247991","3","-290.39678475603705","-583.7935695120741","3"
"3","-178.63150916746716","-362.2630183349343","5","-187.3920307292269","-379.7840614584538","5","-927.7232399731316","-1860.4464799462633","5","-168.37142424997194","-341.7428484999439","5","-239.60004273230774","-484.2000854646155","5"
"4","-1009.570713257202","-2026.141426514404","7","-260.93787460324955","-528.8757492064991","7","-1885.2102521781062","-3777.4205043562124","7","-2071.9994779991707","-4150.998955998341","7","-137.5040416967397","-282.0080833934794","7"
"5","-6674.142560973666","-13357.285121947332","9","-10032.917903805874","-20074.835807611747","9","-569.5752248188401","-1148.1504496376801","9","-1895.3282138196348","-3799.6564276392696","9","-8487.581744084388","-16984.163488168775","9"
"6","-9075.933784967761","-18162.867569935523","11","-2270.8819834651763","-4552.763966930353","11","-1701.7323874786377","-3414.4647749572755","11","-51432.536072405084","-102876.07214481017","11","-5972.302545020836","-11955.605090041672","11"
"7","-21840.75165932594","-43694.50331865188","13","-18239.376915510053","-36491.753831020105","13","-628.728820365006","-1270.457640730012","13","-66801.15328883337","-133615.30657766675","13","-19515.34709001298","-39043.69418002596","13"
"8","-48656.737489682666","-97328.47497936533","15","-5105.960965383945","-10226.92193076789","15","-65.10897861411728","-145.21795722823455","15","-60173.74561737745","-120362.4912347549","15","-5069.497514020478","-10153.995028040956","15"
"9","-23181.716283238813","-46380.432566477626","17","-1141.4942343965342","-2299.9884687930685","17","-183.92200973776224","-384.8440194755245","17","-3212.0191763973253","-6441.038352794651","17","-2685.487093411481","-5387.974186822962","17"
"10","-6496.010542014213","-13011.021084028425","19","-7459.208219598803","-14937.416439197606","19","-34.584662978669655","-88.16932595733931","19","-5271.284707751093","-10561.569415502187","19","-2830.5159327008337","-5680.031865401667","19"
