"episode","comic-bush-346","comic-bush-346__MIN","comic-bush-346__MAX","spring-darkness-345","spring-darkness-345__MIN","spring-darkness-345__MAX","fragrant-shadow-344","fragrant-shadow-344__MIN","fragrant-shadow-344__MAX","comfy-forest-343","comfy-forest-343__MIN","comfy-forest-343__MAX","vocal-blaze-342","vocal-blaze-342__MIN","vocal-blaze-342__MAX"
"1","-47.360878651284146","-95.72175730256829","1","-395.63278715531874","-792.2655743106375","1","-884.040030407437","-1769.080060814874","1","-465.5848274762837","-932.1696549525674","1","-1651.1469624704796","-3303.293924940959","1"
"2","-393.07691443306055","-789.1538288661211","3","-954.7773328183632","-1912.5546656367264","3","-1628.7972932825348","-3260.5945865650697","3","-124.0405246279488","-251.0810492558976","3","-290.3967857325414","-583.7935714650828","3"
"3","-175.09551221263544","-355.1910244252709","5","-238.29520165834427","-481.59040331668854","5","-870.0586246915137","-1745.1172493830275","5","-160.3961987512563","-325.7923975025126","5","-257.3201454487075","-519.640290897415","5"
"4","-177.76561658019645","-362.5312331603929","7","-4014.9232471698574","-8036.846494339715","7","-359.36502539917734","-725.7300507983547","7","-813.7251037863545","-1634.450207572709","7","-929.4439454536808","-1865.8878909073617","7"
"5","-1581.271897392909","-3171.543794785818","9","-30726.313388528994","-61461.62677705799","9","-269.1890886704883","-547.3781773409765","9","-14246.114254258968","-28501.228508517936","9","-43786.167314996885","-87581.33462999377","9"
"6","-2090.1059525618566","-4191.211905123713","11","-41759.676527100935","-83530.35305420187","11","-1203.437332954987","-2417.874665909974","11","-30246.32447890726","-60503.64895781452","11","-36230.60760417689","-72472.21520835378","11"
"7","-8582.434856651782","-17177.869713303564","13","-29058.377000993853","-58129.754001987705","13","-5456.775047831631","-10926.550095663262","13","-24160.239271618077","-48333.47854323615","13","-35787.42654063302","-71587.85308126605","13"
"8","-19793.234237669625","-39601.46847533925","15","-36101.21766303004","-72217.43532606008","15","-66.14903684153808","-147.29807368307615","15","-23006.860535867985","-46028.72107173597","15","-33582.97497205","-67180.9499441","15"
"9","-33784.87436902669","-67586.74873805339","17","-41666.91948451688","-83350.83896903376","17","-304.06649347831683","-625.1329869566337","17","-14966.980535329927","-29950.961070659854","17","-38850.614720049205","-77718.22944009841","17"
"10","-44209.924641641795","-88438.84928328359","19","-45821.003908028695","-91661.00781605739","19","-26229.131183979494","-52477.26236795899","19","-32937.15406595247","-65893.30813190494","19","-36220.741479294404","-72460.48295858881","19"
"11","-60474.46789836999","-120969.93579673998","21","-43595.060383662","-87211.120767324","21","-5980.953144448924","-11982.906288897848","21","-27226.460896986508","-54473.921793973015","21","-37993.817144856956","-76008.63428971391","21"
"12","-34541.595702740335","-69106.19140548067","23","-48135.89069717658","-96294.78139435317","23","-764.2328941516768","-1551.4657883033535","23","-28167.698250720747","-56358.39650144149","23","-30932.422378264102","-61887.844756528204","23"
"13","-52199.84081839793","-104424.68163679587","25","-62784.91686278556","-125594.83372557112","25","-245.53645623609083","-516.0729124721817","25","-41695.290819991096","-83415.58163998219","25","-41511.32767630647","-83047.65535261294","25"
"14","-46594.463459508755","-93215.92691901751","27","-57023.20250580106","-114073.40501160212","27","-63.84680646270999","-154.69361292541998","27","-33215.95073491292","-66458.90146982584","27","-40642.7817083283","-81312.5634166566","27"
"15","-45215.38169805048","-90459.76339610096","29","-38870.01364598223","-77769.02729196446","29","-461.26275941973586","-951.5255188394717","29","-32346.94643526642","-64722.89287053284","29","-44138.67994304079","-88306.35988608158","29"
"16","-35098.70833020407","-70228.41666040814","31","-54630.20510838528","-109291.41021677056","31","-126.80996219369015","-284.6199243873803","31","-34234.52749453712","-68500.05498907424","31","-32015.505384054737","-64062.010768109474","31"
"17","-52414.54572332775","-104862.0914466555","33","-67427.01582193591","-134887.03164387183","33","-1079.6202829626081","-2192.2405659252163","33","-32390.240239562652","-64813.480479125305","33","-38053.01129100572","-76139.02258201144","33"
"18","-65679.61551964635","-131394.2310392927","35","-56562.203030881006","-113159.40606176201","35","-22441.16906433795","-44917.3381286759","35","-35983.534379627126","-72002.06875925425","35","-33586.4078339636","-67207.8156679272","35"
"19","-62600.16536122049","-125237.33072244098","37","-45259.14870100253","-90555.29740200506","37","-45805.20818766741","-91647.41637533483","37","-37691.324983623366","-75419.64996724673","37","-38268.129172064306","-76573.25834412861","37"
"20","-45014.66634810927","-90068.33269621854","39","-51500.408553040834","-103039.81710608167","39","-39064.85566385038","-78168.71132770076","39","-35144.79384281517","-70328.58768563034","39","-38048.78478054176","-76136.56956108352","39"
"21","-58094.42035225826","-116229.84070451652","41","-52011.46716042092","-104063.93432084184","41","-38947.147796948324","-77935.29559389665","41","-28775.99724714128","-57592.99449428256","41","-46205.364983280044","-92451.72996656009","41"
"22","-52789.922030421854","-105622.84406084371","43","-34183.142280657645","-68409.28456131529","43","-37067.38068138342","-74177.76136276685","43","-35434.082144515414","-70911.16428903083","43","-34580.96484041589","-69204.92968083177","43"
"23","-45240.598374699875","-90526.19674939975","45","-50496.14504430941","-101037.29008861881","45","-36970.201516553316","-73985.40303310663","45","-39814.67594439229","-79674.35188878459","45","-37878.3604789469","-75801.7209578938","45"
"24","-55470.552472107855","-110988.10494421571","47","-40968.88940248349","-81984.77880496698","47","-40834.940353496975","-81716.88070699395","47","-33706.438358466556","-67459.87671693311","47","-23880.099801870696","-47807.19960374139","47"
"25","-53243.89104628997","-106536.78209257995","49","-39189.83315207592","-78428.66630415183","49","-38420.4434946027","-76889.8869892054","49","-25211.50897094968","-50472.01794189936","49","-32795.378461311084","-65639.75692262217","49"
"26","-45769.34860318321","-91589.69720636641","51","-53459.487188529","-106969.974377058","51","-39450.60397178843","-78952.20794357685","51","-42029.812594734525","-84110.62518946905","51","-28117.700794129345","-56286.40158825869","51"
"27","-43507.98834423603","-87068.97668847206","53","-48169.57009623611","-96392.14019247222","53","-31825.527482412912","-63704.054964825824","53","-34408.79961331558","-68870.59922663117","53","-38468.25726250365","-76989.5145250073","53"
"28","-47039.261851091534","-94133.52370218307","55","-40671.83443420047","-81398.66886840094","55","-32958.56856072098","-65972.13712144196","55","-31951.778193132785","-63958.55638626557","55","-29347.14703162694","-58749.29406325388","55"
"29","-40077.64652058661","-80212.29304117322","57","-48774.56426538252","-97606.12853076504","57","-33352.35252536562","-66761.70505073124","57","-58527.33026948811","-117111.66053897623","57","-32260.517198021444","-64578.03439604289","57"
"30","-45985.3327903272","-92029.6655806544","59","-42584.33082763197","-85227.66165526395","59","-33292.2977281162","-66643.5954562324","59","-33866.564135894594","-67792.12827178919","59","-33509.01467637068","-67077.02935274136","59"
"31","-52922.597802164455","-105906.19560432891","61","-33871.83674440843","-67804.67348881686","61","-35585.26908712905","-71231.5381742581","61","-38529.935670517465","-77120.87134103493","61","-36730.33666229847","-73521.67332459694","61"
"32","-53466.0764539844","-106995.1529079688","63","-48828.073433071375","-97719.14686614275","63","-33492.770012481655","-67048.54002496331","63","-42611.61173464052","-85286.22346928105","63","-41983.10789523354","-84029.21579046707","63"
"33","-49326.02343833609","-98717.04687667218","65","-19718.635594736315","-39502.27118947263","65","-21313.19517603066","-42691.39035206132","65","-41446.69502975228","-82958.39005950456","65","-48975.46516978121","-98015.93033956242","65"
