"episode","helpful-wind-308","helpful-wind-308__MIN","helpful-wind-308__MAX","upbeat-lion-306","upbeat-lion-306__MIN","upbeat-lion-306__MAX","avid-pond-302","avid-pond-302__MIN","avid-pond-302__MAX","upbeat-morning-300","upbeat-morning-300__MIN","upbeat-morning-300__MAX","treasured-sky-299","treasured-sky-299__MIN","treasured-sky-299__MAX"
"1","-47.360878651284146","-95.72175730256829","1","-395.63278715531874","-792.2655743106375","1","-884.040030407437","-1769.080060814874","1","-465.5848274762837","-932.1696549525674","1","-1651.1469624704796","-3303.293924940959","1"
"2","-393.07691443306055","-789.1538288661211","3","-954.7773328183632","-1912.5546656367264","3","-1628.7972932825348","-3260.5945865650697","3","-124.0405246279488","-251.0810492558976","3","-290.3967857325414","-583.7935714650828","3"
"3","-156.4611473997964","-317.9222947995928","5","-186.72369589709498","-378.44739179418997","5","-785.6191329495033","-1576.2382658990066","5","-170.01365597511577","-345.02731195023154","5","-226.00983830179885","-457.0196766035977","5"
"4","-142.49578341815032","-291.99156683630065","7","-4415.858105103141","-8838.716210206281","7","-113.72696743452747","-234.45393486905493","7","-1090.4695579000092","-2187.9391158000185","7","-2255.752434279805","-4518.50486855961","7"
"5","-6588.285726769054","-13185.571453538108","9","-617.4643228226564","-1243.9286456453128","9","-9654.035983366546","-19317.071966733092","9","-326.82161597706295","-662.6432319541259","9","-1657.084199613258","-3323.168399226516","9"
"6","-14097.99817121185","-28206.9963424237","11","-38986.63395932937","-77984.26791865873","11","-4060.466844813223","-8131.933689626446","11","-844.9272308311326","-1700.8544616622653","11","-14936.667022852296","-29884.334045704592","11"
"7","-1106.4731629441453","-2225.9463258882906","13","-64506.89808154572","-129026.79616309144","13","-14424.778236839567","-28862.556473679135","13","-2913.028070622702","-5839.056141245404","13","-13430.859733667967","-26874.719467335934","13"
"8","-1312.7093010331203","-2640.4186020662405","15","-38884.24269049045","-77783.4853809809","15","-24560.488832031868","-49135.977664063736","15","-2204.1024689587125","-4423.204937917425","15","-4064.23370729506","-8143.46741459012","15"
"9","-1134.132478393815","-2285.26495678763","17","-48475.111623831115","-96967.22324766223","17","-36500.76028166371","-73018.52056332742","17","-4051.106852271544","-8119.213704543088","17","-24632.05546591192","-49281.11093182384","17"
"10","-9489.77796363389","-18998.55592726778","19","-64937.29946477769","-129893.59892955537","19","-45521.4427056996","-91061.8854113992","19","-4246.973394163878","-8512.946788327756","19","-14565.760228964162","-29150.520457928324","19"
"11","-41268.599923769696","-82558.19984753939","21","-35298.140824503374","-70617.28164900675","21","-33679.95088679929","-67380.90177359858","21","-1479.3886250745873","-2979.7772501491745","21","-2419.0100568705498","-4859.0201137410995","21"
"12","-3519.2898878955684","-7061.579775791137","23","-37594.49471597753","-75211.98943195507","23","-38662.17070751529","-77347.34141503058","23","-3010.279084226866","-6043.558168453732","23","-4246.927807647192","-8516.855615294384","23"
"13","-11547.340369209167","-23119.680738418334","25","-40601.530688318504","-81228.06137663701","25","-30571.428148528812","-61167.856297057624","25","-31.212211212746304","-87.42442242549261","25","-2620.9726989558153","-5266.945397911631","25"
"14","-36.029876778405516","-99.05975355681103","27","-46660.65060657105","-93348.3012131421","27","-28724.585386877035","-57476.17077375407","27","-185.41925539771486","-397.8385107954297","27","-2514.4935491184106","-5055.987098236821","27"
"15","-58.09099698795332","-145.18199397590664","29","-51346.195802291055","-102721.39160458211","29","-30244.24825492837","-60517.49650985674","29","6.369884767915536","-16.260230464168927","29","-3650.8751740128137","-7330.750348025627","29"
"16","-132.59304223524822","-296.18608447049644","31","-43097.4023484295","-86225.804696859","31","-333.29513600262703","-697.5902720052541","31","-108.28940793793173","-247.57881587586346","31","-1738.3840133250042","-3507.7680266500083","31"
"17","-58.05143831119918","-149.10287662239836","33","-31083.010127986665","-62199.02025597333","33","-1100.6591016839964","-2234.3182033679927","33","-105.86956791729968","-244.73913583459935","33","-2442.0718023213035","-4917.143604642607","33"
"18","-411.4975353288366","-857.9950706576732","35","-2778.351109694838","-5591.702219389676","35","-1130.132904547566","-2295.265809095132","35","-58.791179157217144","-152.5823583144343","35","-8634.641259470423","-17304.282518940847","35"
"19","-423.1406487388954","-883.2812974777908","37","-5907.45961585655","-11851.9192317131","37","-28845.989765744907","-57728.979531489815","37","-2.4938902650694352","-41.98778053013887","37","-27764.75323484186","-55566.50646968372","37"
"20","-1305.252147546032","-2649.504295092064","39","-13968.657581862624","-27976.31516372525","39","-120.97663206240654","-280.9532641248131","39","-137.68124534243705","-314.3624906848741","39","-31629.987755786","-63298.975511572","39"
"21","-1296.1306996416522","-2633.2613992833044","41","-7743.804056773912","-15528.608113547823","41","-177.9167190555718","-396.8334381111436","41","19.44641159322981","-2.1071768135403754","41","-29180.106957961372","-58401.213915922744","41"
"22","-214.06871093656562","-471.13742187313125","43","-15228.417689971022","-30499.835379942044","43","-583.4568871889184","-1209.9137743778367","43","-19.39182315280526","-81.78364630561052","43","-556.9712000457231","-1156.9424000914462","43"
"23","-313.5980961316959","-672.1961922633918","45","-5955.442247823753","-11955.884495647506","45","-613.5310218233143","-1272.0620436466286","45","-21.40851033072532","-87.81702066145064","45","-5312.297855683612","-10669.595711367225","45"
"24","-83.78866782931873","-214.57733565863745","47","-16986.958328669753","-34020.916657339505","47","-557.5260036262569","-1162.0520072525137","47","15.075493019646977","-16.849013960706046","47","-230.928491733346","-508.856983466692","47"
"25","16.777452335972136","-15.445095328055727","49","-32325.217105747866","-64699.43421149573","49","-116.65226038836153","-282.30452077672305","49","18.624839556667077","-11.750320886665849","49","-54.75803492687632","-158.51606985375264","49"
"26","-18.294447526162514","-87.58889505232503","51","-43133.08305698926","-86317.16611397851","51","13.36294468655205","-24.2741106268959","51","-22.749352521789213","-96.49870504357843","51","-362.26207510672936","-775.5241502134587","51"
"27","-208.27944550737638","-469.55889101475276","53","-46269.286108477034","-92591.57221695407","53","7.031964526645936","-38.93607094670813","53","-188.43782404310954","-429.8756480862191","53","-18.472661863171567","-89.94532372634313","53"
"28","-158.0481081400174","-371.0962162800348","55","-35879.525662632215","-71814.05132526443","55","-86.05946166000183","-227.11892332000366","55","-33.3437922610488","-121.6875845220976","55","3.3983478499122732","-48.20330430017545","55"
"29","-107.1476050400434","-271.2952100800868","57","-42439.01697020346","-84935.03394040692","57","-11.592771006401541","-80.18554201280308","57","3.9287154345561284","-49.14256913088774","57","-400.8596061415843","-858.7192122831686","57"
"30","-44.34283627342556","-147.68567254685112","59","-37158.44750611358","-74375.89501222716","59","-35.64886448243651","-130.29772896487302","59","-162.2537789820921","-383.5075579641842","59","-178.88154151294873","-416.76308302589746","59"
"31","24.565485914912607","-11.869028170174788","61","-32444.303431627348","-64949.606863254696","61","-15.90703901113234","-92.81407802226468","61","-21.686115994396083","-104.37223198879217","61","-168.86069864276143","-398.72139728552287","61"
"32","-60.80467210361006","-184.60934420722012","63","-35524.98458481159","-71112.96916962317","63","-225.46979597755836","-513.9395919551167","63","-20.38352968892925","-103.7670593778585","63","-734.1818271841463","-1531.3636543682926","63"
"33","-30.892862674170956","-126.78572534834191","65","-38270.903226595445","-76606.80645319089","65","-188.00576724645563","-441.01153449291127","65","25.883213883710685","-13.233572232578629","65","-139.58215532002816","-344.1643106400563","65"
