"episode","Group: Train_Rewards_simple_spread_if_load_meta:1 - _step","Group: Train_Rewards_simple_spread_if_load_meta:1 - _step__MIN","Group: Train_Rewards_simple_spread_if_load_meta:1 - _step__MAX","Group: Train_Rewards_simple_spread_if_load_meta:1 - train_rewards","Group: Train_Rewards_simple_spread_if_load_meta:1 - train_rewards__MIN","Group: Train_Rewards_simple_spread_if_load_meta:1 - train_rewards__MAX"
"1","1","1","1","-815.8366458173789","-1159.7077806780158","-489.9005861773102"
"2","3","3","3","-637.8098970295484","-874.09247404521","-535.5801241750414"
"3","5","5","5","-750.3127804327502","-1120.3094620285979","-513.531702812626"
"4","7","7","7","-915.9049699139774","-1370.702025259832","-557.8564765097861"
"5","9","9","9","-2115.3372403109634","-4297.040527679187","-973.9544874730963"
"6","11","11","11","-2877.4651144190793","-6088.662743925908","-841.4161364279012"
"7","13","13","13","-3936.0496157712782","-7111.88928132032","-804.9693000132048"
"8","15","15","15","-4209.5408508058445","-6666.79213224813","-2592.3270782443437"
"9","17","17","17","-4035.0590376199616","-7449.193163966895","-1106.8356034583403"
"10","19","19","19","-3727.8865433638484","-8661.583951795354","-1013.8130792978516"
"11","21","21","21","-3523.351647109138","-5746.684566030613","-1017.8786416014327"
"12","23","23","23","-3553.7198249011863","-6511.611816344484","-917.3812300225084"
"13","25","25","25","-3338.3649490973903","-5036.915377299306","-936.0085373168349"
"14","27","27","27","-5608.492622751516","-6962.993179854098","-4245.41927197274"
"15","29","29","29","-3844.012356370525","-6546.529615173256","-1397.9764129563534"
"16","31","31","31","-4099.72399409368","-4825.8774823183285","-3678.1500532542823"
"17","33","33","33","-3320.744975510986","-4515.883115569532","-1107.9764994037885"
"18","35","35","35","-1952.9498760511622","-2844.9925131395944","-1068.67263570572"
"19","37","37","37","-2299.0118952292687","-6584.419449506934","-844.3943174078869"
"20","39","39","39","-2518.747271843481","-6425.430716181687","-371.91160683213684"
"21","41","41","41","-2703.184726628355","-5229.032514786333","-379.16426963021485"
"22","43","43","43","-2411.1723522310326","-5217.219959457032","-440.89409135135054"
"23","45","45","45","-2691.6300587221513","-5021.526334668615","-639.5335268056037"
"24","47","47","47","-1838.4015223624428","-3266.931610885356","-486.73765158154646"
"25","49","49","49","-1472.6568893779252","-2510.449211256155","-394.4346520219017"
