2022-08-23 18:49:51,170 INFO    MainThread:55836 [wandb_setup.py:_flush():76] Configure stats pid to 55836
2022-08-23 18:49:51,171 INFO    MainThread:55836 [wandb_setup.py:_flush():76] Loading settings from /Users/stevenyuan/.config/wandb/settings
2022-08-23 18:49:51,171 INFO    MainThread:55836 [wandb_setup.py:_flush():76] Loading settings from /Users/stevenyuan/Documents/McGill/CPSL-Lab/Generalized_MARL/Generalized_MADDPG/overcook_maddpg/wandb/settings
2022-08-23 18:49:51,171 INFO    MainThread:55836 [wandb_setup.py:_flush():76] Loading settings from environment variables: {'_require_service': 'True'}
2022-08-23 18:49:51,171 INFO    MainThread:55836 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'overcook_maddpg/meta_learner.py', 'program': '/Users/stevenyuan/Documents/McGill/CPSL-Lab/Generalized_MARL/Generalized_MADDPG/overcook_maddpg/meta_learner.py'}
2022-08-23 18:49:51,171 INFO    MainThread:55836 [wandb_init.py:_log_setup():461] Logging user logs to /Users/stevenyuan/Documents/McGill/CPSL-Lab/Generalized_MARL/Generalized_MADDPG/overcook_maddpg/wandb/run-20220823_184951-72gtodlq/logs/debug.log
2022-08-23 18:49:51,171 INFO    MainThread:55836 [wandb_init.py:_log_setup():462] Logging internal logs to /Users/stevenyuan/Documents/McGill/CPSL-Lab/Generalized_MARL/Generalized_MADDPG/overcook_maddpg/wandb/run-20220823_184951-72gtodlq/logs/debug-internal.log
2022-08-23 18:49:51,172 INFO    MainThread:55836 [wandb_init.py:init():495] calling init triggers
2022-08-23 18:49:51,172 INFO    MainThread:55836 [wandb_init.py:init():498] wandb.init called with sweep_config: {}
config: {}
2022-08-23 18:49:51,172 INFO    MainThread:55836 [wandb_init.py:init():548] starting backend
2022-08-23 18:49:51,172 INFO    MainThread:55836 [wandb_init.py:init():552] setting up manager
2022-08-23 18:49:51,174 INFO    MainThread:55836 [backend.py:_multiprocessing_setup():97] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
